Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
27;25293110;12/01/2025 - 12:09;12/01/2025 - 12:09;12/01/2025 - 12:09;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Plutôt opposé;Tout à fait favorable;Assez favorable;Quelques difficultés;Quelques difficultés;Plutôt à l'aise;Quelques difficultés;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Très favorable;Favorable;Favorable;Réticent;Réticent;Favorable;C'est très important;C'est plutôt important;C'est très secondaire;C'est plutôt important;C'est très secondaire;C'est important;55-64 ans;"Rien à dire de pertinent sur le sujet en particulier
Je suppose que des standards anglo saxons vont s'imposer, comme souvent 

28;25293196;12/01/2025 - 12:20;12/01/2025 - 12:20;12/01/2025 - 12:20;0;0.0.0.0;0;Anonymous;Assez favorable;Totalement opposé;Plutôt opposé;Totalement opposé;Ni favorable, ni opposé;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Favorable;Réticent;Très réticent;Réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;18-24 ans;
29;25293410;12/01/2025 - 12:48;12/01/2025 - 12:48;12/01/2025 - 12:48;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Faible;Faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est très secondaire;C'est très important;C'est très important;C'est plutôt secondaire;C'est important;55-64 ans;D’un coté « il n’est de richesses que d’hommes », de l’autre confier la sélection de ces richesses à une « machine ». Ça ne me parait ni intuitif ni conciliable. Pourquoi ne pas confier aussi le travail à faire à l’IA dans ce cas? Tout n’est pas gérable par algorithmes …
30;25293424;12/01/2025 - 12:51;12/01/2025 - 12:51;12/01/2025 - 12:51;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Très réticent;Ni réticent, ni favorable;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;35-44 ans;
31;25293982;12/01/2025 - 14:07;12/01/2025 - 14:07;12/01/2025 - 14:07;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;
32;25294191;12/01/2025 - 14:34;12/01/2025 - 14:34;12/01/2025 - 14:34;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est important ou secondaire;C'est plutôt secondaire;C'est essentiel;25-34 ans;Je trouve cela dommage car cela peut écarter des candidats qui n’ont pas un profil classique. À mon sens l’absence d’humain serait regrettable. 
33;25294264;12/01/2025 - 14:43;12/01/2025 - 14:43;12/01/2025 - 14:43;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Plutôt opposé;Ni favorable, ni opposé;Plutôt à l'aise;Ni aisance, ni difficultés;En difficulté;Plutôt à l'aise;Faible;Faible;Faible;Faible;Réticent;Réticent;Réticent;Réticent;Réticent;Réticent;C'est très important;C'est plutôt important;C'est plutôt important;C'est très important;C'est très important;C'est essentiel;55-64 ans;
34;25294609;12/01/2025 - 15:29;12/01/2025 - 15:29;12/01/2025 - 15:29;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;Assez favorable;Quelques difficultés;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;C'est plutôt important;C'est important ou secondaire;C'est plutôt secondaire;C'est plutôt important;C'est important ou secondaire;C'est important;55-64 ans;Pas sérieuse. L'IA est un outil d'aide à la décision pas l'outil de décision.
35;25294649;12/01/2025 - 15:34;12/01/2025 - 15:34;12/01/2025 - 15:34;0;0.0.0.0;0;Anonymous;Totalement opposé;Assez favorable;Totalement opposé;Assez favorable;Plutôt opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Elevé;Faible;Faible;Réticent;Réticent;Très réticent;Réticent;Réticent;Réticent;C'est important ou secondaire;C'est très secondaire;C'est plutôt secondaire;C'est très important;C'est important ou secondaire;C'est essentiel;25-34 ans;
36;25294672;12/01/2025 - 15:37;12/01/2025 - 15:37;12/01/2025 - 15:37;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Faible;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est important;35-44 ans;
37;25294771;12/01/2025 - 15:48;12/01/2025 - 15:48;12/01/2025 - 15:48;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Plutôt opposé;Assez favorable;Ni favorable, ni opposé;Plutôt opposé;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Faible;Réticent;Réticent;Réticent;Réticent;Réticent;Réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est plutôt important;Cela dépend;35-44 ans;
38;25295377;12/01/2025 - 17:02;12/01/2025 - 17:02;12/01/2025 - 17:02;0;0.0.0.0;0;Anonymous;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Elevé;Elevé;Elevé;Elevé;Favorable;Favorable;Réticent;Ni réticent, ni favorable;Réticent;Favorable;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est secondaire;55-64 ans;
39;25295410;12/01/2025 - 17:06;12/01/2025 - 17:06;12/01/2025 - 17:06;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Faible;Faible;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est plutôt important;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;35-44 ans;Je pense qu'une IA reste un outil, et ne saurait se substituer aux humains pour un recrutement plus humain...
40;25295508;12/01/2025 - 17:16;12/01/2025 - 17:16;12/01/2025 - 17:16;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est très important;C'est important;45-54 ans;
41;25295798;12/01/2025 - 17:46;12/01/2025 - 17:46;12/01/2025 - 17:46;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Quelques difficultés;Quelques difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;;C'est essentiel;55-64 ans;Je n’aurai pas du tout confiance.
42;25296784;12/01/2025 - 19:00;12/01/2025 - 19:00;12/01/2025 - 19:00;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Tout à fait favorable;Assez favorable;Assez favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Elevé;Faible;Ni faible, ni élevé;Très réticent;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;18-24 ans;
43;25297180;12/01/2025 - 19:32;12/01/2025 - 19:32;12/01/2025 - 19:32;0;0.0.0.0;0;Anonymous;Totalement opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est plutôt secondaire;C'est essentiel;55-64 ans;
44;25297558;12/01/2025 - 20:05;12/01/2025 - 20:05;12/01/2025 - 20:05;0;0.0.0.0;0;Anonymous;Assez favorable;Totalement opposé;Assez favorable;Plutôt opposé;Ni favorable, ni opposé;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Faible;Très faible;Très faible;Très réticent;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est très important;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;18-24 ans;
45;25297621;12/01/2025 - 20:10;12/01/2025 - 20:10;12/01/2025 - 20:10;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Ni faible, ni élevé;Ni faible, ni élevé;Très réticent;Ni réticent, ni favorable;Très réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Très réticent;C'est très important;C'est plutôt important;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est sans intérêt;35-44 ans;
46;25297648;12/01/2025 - 20:11;12/01/2025 - 20:11;12/01/2025 - 20:11;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Très faible;Réticent;Très réticent;Ni réticent, ni favorable;Favorable;Très réticent;Très favorable;C'est plutôt important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;Cela dépend;18-24 ans;L’utilisation de l’IA devrait selon moi être complémentaire à toute activité de recrutement. Les outils d’intelligence artificiel sont ce qu’ils sont des « outils » qui ne doivent en aucun cas se substituer à une décision humaine. Dans la décision de recrutement une large part est basée sur ce qu’on pourrait appeler des biais cognitifs qui font choisir des profils qui « match » avec la personnalité du recruteur ou de l’entreprise, ce qui au final peut-être bénéfique puisque l’intérêt est l’intégrer un collaborateur qui saura s’épanouir au sein d’une certaine culture d’entreprise, culture qui ne peux pas transparaître ou être transmise si le recruteur est une lA. En parallèle la présélection de profils par l’IA est une activité commune aujourd’hui et qui permet un large gain de temps il est vrai, néanmoins cette présélection qui se base essentiellement sur la recherche de mots clés dans le CV ne permet pas d'identifier de potentiels « outsiders » ou talents qui sauraient se démarquer par une présentation innovante de leur CV/leurs compétences. L’utilisation du tri automatique des CV par IA réduit les chances pour les chercheurs d’emplois d’être identifiés en tant que véritable talent.  
47;25299034;12/01/2025 - 22:09;12/01/2025 - 22:09;12/01/2025 - 22:09;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Totalement opposé;Ni favorable, ni opposé;Totalement opposé;à l'aise;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Elevé;Faible;Faible;Elevé;Favorable;Favorable;Très réticent;Réticent;Réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;Cela dépend;18-24 ans;
48;25301249;13/01/2025 - 08:53;13/01/2025 - 08:53;13/01/2025 - 08:53;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;Quelques difficultés;Quelques difficultés;En difficulté;Quelques difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est essentiel;35-44 ans;Elle occulte une dimension humaine importante. L'homme n'est pas un robot. La vie n'est pas binaire. Entre le noir et le blanc il y a des nuances gris et parfois de la couleur. En biologie l'évolution vient des individus marginaux... je ne voudrais pas travailler dans une entreprise qui utilise l ia pour ses recrutement !
49;25318203;13/01/2025 - 16:55;13/01/2025 - 16:55;13/01/2025 - 16:55;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Elevé;Elevé;Favorable;Très favorable;Réticent;Réticent;Très réticent;Ni réticent, ni favorable;C'est plutôt important;C'est plutôt secondaire;C'est très important;C'est très important;C'est plutôt important;Cela dépend;18-24 ans;La décision finale doit appartenir à un humain, les IA doivent être fiables et sans biais. Le filtrage initial des candidatures ne doit pas discriminer les CV qui n’ont pas une mise en page classique 
50;25318852;13/01/2025 - 17:14;13/01/2025 - 17:14;13/01/2025 - 17:14;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Assez favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Ni réticent, ni favorable;Réticent;Réticent;Réticent;Favorable;C'est important ou secondaire;C'est très important;C'est plutôt important;C'est plutôt important;C'est important ou secondaire;C'est secondaire;25-34 ans;
51;25319363;13/01/2025 - 17:30;13/01/2025 - 17:30;13/01/2025 - 17:30;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Faible;Faible;Faible;Ni faible, ni élevé;Très réticent;Très réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est secondaire;45-54 ans;
52;25320843;13/01/2025 - 18:15;13/01/2025 - 18:15;13/01/2025 - 18:15;0;0.0.0.0;0;Anonymous;Assez favorable;Plutôt opposé;Assez favorable;Plutôt opposé;Plutôt opposé;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Elevé;Elevé;Faible;Faible;Réticent;Réticent;Très réticent;Favorable;Réticent;Réticent;C'est plutôt important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est important;18-24 ans;Lors des processus de recrutement il me semble que certaines entreprises utilisent les logiciels ATS pour sélectionner les CV. Cela laisse de coté certains Cv qui ne sont pas dans les formes acceptées par le logiciel (qui ne reconnaît pas exemple pas les photos ou le format de CV avec une bande sur le côté). Cela laisse donc de côté beaucoup de CV qui pourraient être interessants niveau profil expériences et formations mais qui ne passent pas dans un logiciel IA. Il faut donc rentrer dans des cases spécifiques et ce dispositif peut être discriminant pour de nombreuses personnes qui n’ont pas connaissances de ces règles. Cela laisse peu de place à la valorisation des compétences et expériences au profit d’un tri par une machine. 
53;25321363;13/01/2025 - 18:34;13/01/2025 - 18:34;13/01/2025 - 18:34;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Ni aisance, ni difficultés;Très faible;Elevé;Elevé;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;18-24 ans;En premier lieux je ne serais pas d'accord avec l'usage de l'IA dans le recrutement, par problème éthique et écologique. Cependant je ne suis pas certaine de comment intervient l'IA dans ce processus. De plus, dans certains domaines comme l'art, où il faut par exemple présenter un book ou être évalué sur une épreuve manuelle je ne vois pas comment l'IA pourrait correctement évaluer le candidat.
54;25321377;13/01/2025 - 18:35;13/01/2025 - 18:35;13/01/2025 - 18:35;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Totalement opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Ni aisance, ni difficultés;Très faible;Elevé;Elevé;Faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;25-34 ans;Cela dépendrait de si un humain réalise des vérifications par derrière.
55;25322880;13/01/2025 - 19:41;13/01/2025 - 19:41;13/01/2025 - 19:41;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;Assez favorable;à l'aise;à l'aise;à l'aise;Ni aisance, ni difficultés;Elevé;Elevé;Elevé;Elevé;Réticent;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est secondaire;25-34 ans;Je pense que cela peut être utile sur certains points mais malheureusement cela pourrait aussi peut être éliminer de bon candidats sans réel raison alors pourquoi pas une sorte de premier classement mais je pense que le feeling d'un vrai contact est plus important  
56;25323366;13/01/2025 - 20:08;13/01/2025 - 20:08;13/01/2025 - 20:08;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Tout à fait favorable;Assez favorable;à l'aise;à l'aise;à l'aise;à l'aise;Ni faible, ni élevé;Très faible;Très faible;Très faible;Réticent;Réticent;Très réticent;Très réticent;Très réticent;Réticent;C'est très important;C'est important ou secondaire;C'est très important;C'est très important;C'est très important;C'est important;55-64 ans;"Je détesterais d'emblée cette entreprise car je déteste ce qu'est devenue la société.
Je reconnais la contradiction car je suis grande utilisatrice de Chat Gpt."
57;25324230;13/01/2025 - 20:56;13/01/2025 - 20:56;13/01/2025 - 20:56;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Tout à fait favorable;Assez favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Très faible;Faible;Faible;Ni faible, ni élevé;Très réticent;Ni réticent, ni favorable;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est important ou secondaire;C'est essentiel;45-54 ans;Si une entreprise a besoin de faire des économies lors de son recrutement qu’elle fasse moins d’entretiens plutôt que de prendre le risque de lisser artificiellement les candidatures 
58;25324487;13/01/2025 - 21:08;13/01/2025 - 21:08;13/01/2025 - 21:08;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Plutôt opposé;Plutôt opposé;Plutôt opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Ni réticent, ni favorable;Très réticent;Réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est très important;C'est essentiel;25-34 ans;Il faut une IA spécifique parfaitement entrainée pour éviter toute forme de discriminations et qui soit capable de faire autrement que sélectionner uniquement les mêmes profils pour un poste donné s'il n'y a pas besoin de seulement quelques éléments spécifiques.
59;25324653;13/01/2025 - 21:18;13/01/2025 - 21:18;13/01/2025 - 21:18;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Plutôt opposé;Assez favorable;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Très réticent;Réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est très important;C'est très important;C'est important;25-34 ans;
60;25325817;13/01/2025 - 22:48;13/01/2025 - 22:48;13/01/2025 - 22:48;0;0.0.0.0;0;Anonymous;Totalement opposé;Ni favorable, ni opposé;Plutôt opposé;Assez favorable;Totalement opposé;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Faible;Faible;Faible;Réticent;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;55-64 ans;En théorie cela paraît séduisant et c’est très certainement ce qui se fera de plus en plus. Dans la pratique, l’IA passe à côté de nombreux facteurs dont un qui essentiel : l’intuition.
61;25326157;13/01/2025 - 23:42;13/01/2025 - 23:42;13/01/2025 - 23:42;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt secondaire;C'est important ou secondaire;C'est important ou secondaire;;C'est secondaire;55-64 ans;Facilite le travail, rassure, déresponsabilise sur les choix retenus mais peut aussi être facilement dupé par un candidat qui maitrise les codes.
62;25326666;14/01/2025 - 06:15;14/01/2025 - 06:15;14/01/2025 - 06:15;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Très faible;Ni faible, ni élevé;Ni faible, ni élevé;Faible;Très réticent;Ni réticent, ni favorable;Favorable;Favorable;Très réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est important ou secondaire;C'est important;25-34 ans;
63;25326941;14/01/2025 - 07:26;14/01/2025 - 07:26;14/01/2025 - 07:26;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Réticent;C'est très important;C'est très secondaire;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est secondaire;55-64 ans;
64;25327019;14/01/2025 - 07:38;14/01/2025 - 07:38;14/01/2025 - 07:38;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Ni favorable, ni opposé;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Faible;Faible;Très favorable;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt important;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;55-64 ans;C'est inéluctable, alors allons y mais en l'encadrant...
65;25327519;14/01/2025 - 08:27;14/01/2025 - 08:27;14/01/2025 - 08:27;0;0.0.0.0;0;Anonymous;Assez favorable;Plutôt opposé;Plutôt opposé;Tout à fait favorable;Assez favorable;Plutôt à l'aise;Ni aisance, ni difficultés;à l'aise;Ni aisance, ni difficultés;Ni faible, ni élevé;Faible;Faible;Ni faible, ni élevé;Favorable;Réticent;Très réticent;Très réticent;Ni réticent, ni favorable;Favorable;C'est très important;C'est plutôt important;C'est important ou secondaire;C'est très important;C'est important ou secondaire;C'est essentiel;55-64 ans;
66;25327888;14/01/2025 - 08:45;14/01/2025 - 08:45;14/01/2025 - 08:45;0;0.0.0.0;0;Anonymous;Totalement opposé;Plutôt opposé;Assez favorable;Assez favorable;Plutôt opposé;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Faible;Ni réticent, ni favorable;Très réticent;Très réticent;Ni réticent, ni favorable;Réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est très secondaire;C'est important;55-64 ans;"Ce serait céder à une certine mode et faire preuve de conformisme vis à vis des courants sociétaux actuels, tout en cédant à la facilité.
Seuls usages acceptables: détection des dossiers montés grâce à l'IA (pour en être averti) et analyse statististique initiale des dossiers.
Il y a dans le choix des collaborateurs une dimension humaine incontournable. On ne saurait le confier à une machine. Même à un système très expert.
Et pourtant je suis plutôt technophile., voire geek. Et 6 ans de RH cadre (administration centrale)..."
